City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,san julian,21.0167,-102.1667,21.78,44,2,2.14,MX,1699992134
302,cartagena del chaira,1.3349,-74.8429,30.97,63,98,0.79,CO,1699992135
303,el granada,37.5027,-122.4694,22.67,60,40,8.75,US,1699992135
304,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1699992135
305,kristiansund,63.1115,7.732,1.36,64,0,2.57,NO,1699992136
306,cumberland,35.0502,-78.8664,20.83,24,0,3.6,US,1699991939
307,atafu village,-8.5421,-172.5159,29.0,75,77,3.26,TK,1699992137
308,revda,56.801,59.9303,2.95,97,100,2.9,RU,1699992137
309,acarau,-2.8856,-40.12,27.29,86,15,11.34,BR,1699992072
310,san patricio,28.017,-97.5169,23.79,59,5,4.01,US,1699992138
311,fortuna,40.5982,-124.1573,14.4,98,0,9.26,US,1699992138
312,fale old settlement,-9.3852,-171.2468,28.85,76,70,4.35,TK,1699992139
313,pathein,16.7833,94.7333,24.15,88,14,2.36,MM,1699992139
314,belmonte,-15.8631,-38.8828,26.51,70,8,4.76,BR,1699992140
315,vila velha,-20.3297,-40.2925,29.97,76,0,9.26,BR,1699992140
316,harstad,68.799,16.5293,-0.47,68,15,0.93,NO,1699992141
317,al kharijah,25.4514,30.5464,21.41,38,0,4.47,EG,1699992141
318,saldanha,-33.0117,17.9442,23.03,47,6,3.94,ZA,1699992141
319,berezovyy,51.6667,135.7,-10.89,82,9,0.99,RU,1699992141
320,lesozavodsk,45.4794,133.4244,-9.26,92,32,2.47,RU,1699991873
321,nagqu,31.5,92.0,-2.23,49,100,1.64,CN,1699992142
322,port macquarie,-31.4333,152.9167,18.83,91,84,2.4,AU,1699992132
323,murzuq,25.9155,13.9184,19.87,49,0,4.39,LY,1699992143
324,mount pearl,47.5166,-52.7813,0.08,80,100,4.12,CA,1699992143
325,dazhou,31.2159,107.5009,12.58,85,100,1.29,CN,1699992143
326,al jawf,29.5,38.75,20.07,59,29,1.55,SA,1699992144
327,luderitz,-26.6481,15.1594,18.08,75,2,0.61,NA,1699992144
328,winnemucca,40.973,-117.7357,14.15,21,5,1.02,US,1699992144
329,topeka,39.0483,-95.678,21.21,39,0,7.2,US,1699992033
330,pyu,18.4833,96.4333,23.0,94,100,1.56,MM,1699992145
331,vadso,70.0744,29.7487,-1.91,86,40,5.14,NO,1699992145
332,tamanrasset,22.785,5.5228,18.95,22,0,2.57,DZ,1699992145
333,tara,56.8944,74.371,3.86,78,100,5.83,RU,1699992145
334,gazojak,41.1875,61.4036,11.49,32,0,4.99,TM,1699992146
335,maceio,-9.6658,-35.7353,27.69,78,20,7.72,BR,1699992146
336,pisco,-13.7,-76.2167,22.79,78,11,4.63,PE,1699992146
337,ningbo,29.8782,121.5495,5.99,93,11,1.0,CN,1699992042
338,lusambo,-4.9667,23.45,19.79,99,98,0.18,CD,1699992147
339,saint-pierre,-21.3393,55.4781,24.2,69,100,3.09,RE,1699992147
340,concepcion,-36.827,-73.0498,14.89,51,0,9.77,CL,1699992148
341,santa cruz,-17.8,-63.1667,36.7,41,40,11.83,BO,1699992148
342,maintirano,-18.0667,44.0167,25.86,68,0,6.78,MG,1699992148
343,motygino,58.1831,94.7592,-12.64,98,100,2.05,RU,1699992148
344,kavaratti,10.5669,72.642,28.01,65,96,0.72,IN,1699992149
345,kodinsk,58.6881,99.1844,-11.42,90,73,3.91,RU,1699992149
346,banda aceh,5.5577,95.3222,25.57,86,100,0.8,ID,1699992149
347,jaisalmer,26.9147,70.9181,21.9,28,0,3.96,IN,1699991963
348,san antonio de pale,-1.4014,5.6325,26.6,78,96,5.22,GQ,1699992150
349,queenstown,-31.8976,26.8753,10.09,90,5,1.78,ZA,1699992150
350,upata,8.0086,-62.3989,31.77,34,20,3.06,VE,1699992151
351,kochenevo,55.0218,82.202,2.66,86,96,7.03,RU,1699992151
352,center,31.5107,-96.4247,23.22,54,0,2.57,US,1699992152
353,west island,-12.1568,96.8225,24.99,83,40,3.6,CC,1699992152
354,kiunga,-6.1219,141.2906,22.49,99,100,0.05,PG,1699992152
355,pandan,14.0453,124.1694,26.76,87,100,7.46,PH,1699992153
356,sai buri,6.7013,101.6168,25.42,85,97,1.19,TH,1699992153
357,natal,-5.795,-35.2094,29.12,70,40,6.17,BR,1699991883
358,hpa-an,16.8906,97.6333,23.78,89,69,0.86,MM,1699992153
359,manadhoo,5.7667,73.3833,27.55,74,13,1.37,MV,1699992153
360,villa bruzual,9.3328,-69.1208,29.2,70,95,0.62,VE,1699992154
361,pavlovka,52.6897,47.1405,2.2,94,22,3.12,RU,1699992154
362,kalmunai,7.4167,81.8167,25.59,88,98,2.48,LK,1699992154
